Country/Region,Cars,Commercial Vehicles,Total,Change,Year
ARGENTINA,304 783,305 942,610 725,14%,2023
AUSTRIA,102 291,11 900,114 191,-6%,2023
BELGIUM,285 159,46 944,332 103,16%,2023
BRAZIL,1 781 612,543 226,2 324 838,-2%,2023
CANADA,376 888,1 176 138,1 553 026,26%,2023
CHINA,26 123 757,4 037 209,30 160 966,12%,2023
CZECH REPUBLIC,1 397 816,6 685,1 404 501,15%,2023
FINLAND,30 191,,30 191,-59%,2023
FRANCE,1 026 690,478 386,1 505 076,9%,2023
GERMANY,4 109 371,,4 109 371,18%,2023
HUNGARY,507 225,,507 225,15%,2023
INDIA,4 783 628,1 067 879,5 851 507,7%,2023
INDONESIA,1 180 355,215 362,1 395 717,-5%,2023
ITALY,541 953,338 132,880 085,11%,2023
JAPAN,7 765 428,1 232 012,8 997 440,15%,2023
KAZAKHSTAN,134 054,12 935,146 989,30%,2023
MALAYSIA,724 891,49 709,774 600,10%,2023
MOROCCO,471 950,63 875,535 825,15%,2023
MEXICO,903 753,3 098 294,4 002 047,14%,2023
POLAND,299 300,313 582,612 882,27%,2023
PORTUGAL,243 201,75 030,318 231,-1%,2023
ROMANIA,513 050,,513 050,1%,2023
RUSSIA,526 439,203 425,729 864,20%,2023
SLOVAKIA,1 080 000,,1 080 000,10%,2023
SLOVENIA,60 881,,60 881,-11%,2023
SOUTH AFRICA,336 980,296 357,633 337,14%,2023
SOUTH KOREA,3 908 747,334 850,4 243 597,13%,2023
SPAIN,1 907 050,544 171,2 451 221,10%,2023
TAIWAN,221 329,64 633,285 962,10%,2023
THAILAND,580 857,1 260 806,1 841 663,-2%,2023
TURKEY,952 667,515 726,1 468 393,9%,2023
UKRAINE,1 993,,1 993,34%,2023
UNITED KINGDOM,905 117,120 357,1 025 474,17%,2023
USA,1 745 171,8 866 384,10 611 555,6%,2023
UZBEKISTAN,421 414,4 462,425 876,25%,2023
OTHERS,877 579,1 128 618,2 006 197,,2023
ARGENTINA,257505,279388,536893,24%,2022
AUSTRIA,107500,0,107500,-21%,2022
BELGIUM,232100,44454,276554,6%,2022
BRAZIL,1824833,544936,2369769,5%,2022
CANADA,289371,939364,1228735,10%,2022
CHINA,23836083,3184532,27020615,3%,2022
CZECH REPUBLIC,1217787,6669,1224456,10%,2022
FINLAND,73044,0,73044,-15%,2022
FRANCE,1010466,372707,1383173,2%,2022
GERMANY,3480357,197463,3677820,11%,2022
HUNGARY,441729,0,441729,6%,2022
INDIA,4439039,1017818,5456857,24%,2022
INDONESIA,1214250,255896,1470146,31%,2022
ITALY,473194,323200,796394,0%,2022
JAPAN,6566356,1269163,7835519,0%,2022
KAZAKHSTAN,103345,9195,112540,22%,2022
MALAYSIA,650190,52085,702275,46%,2022
MOROCCO,404742,60122,464864,15%,2022
MEXICO,658001,2851071,3509072,10%,2022
POLAND,255100,228740,483840,10%,2022
PORTUGAL,256018,66386,322404,11%,2022
ROMANIA,509465,0,509465,21%,2022
RUSSIA,448897,159563,608460,-61%,2022
SERBIA,4358,140,4498,-79%,2022
SLOVAKIA,1000000,0,1000000,-3%,2022
SLOVENIA,68130,0,68130,-29%,2022
SOUTH AFRICA,309423,246466,555889,11%,2022
SOUTH KOREA,3438355,318694,3757049,9%,2022
SPAIN,1785432,434030,2219462,6%,2022
TAIWAN,191409,69854,261263,-2%,2022
THAILAND,594057,1289458,1883515,12%,2022
TURKEY,810889,541759,1352648,6%,2022
UKRAINE,1490,0,1490,-82%,2022
UNITED KINGDOM,775014,101600,876614,-6%,2022
USA,1751736,8308603,10060339,10%,2022
UZBEKISTAN,328118,5451,333569,38%,2022
OTHERS,1790867,239271,2030138,,2022
ARGENTINA,184106,250647,434753,69%,2021
AUSTRIA,124700,12000,136700,9%,2021
BELGIUM,224180,36858,261038,-2%,2021
BRAZIL,1707851,540402,2248253,12%,2021
CANADA,288 235,826767,1115002,-19%,2021
CHINA,21407962,4674258,26082220,3%,2021
CZECH REPUBLIC,1 105 223,6209,1111432,-4%,2021
EGYPT,23754,,23754,0%,2021
FINLAND,93172,,93172,8%,2021
FRANCE,917907,433401,1351308,3%,2021
GERMANY,3096165,212527,3308692,-12%,2021
HUNGARY,394302,,394302,-3%,2021
INDIA,3631095,768017,4399112,30%,2021
INDONESIA,889756,232211,1121967,63%,2021
ITALY,442432,353424,795856,2%,2021
JAPAN,6619242,1227713,7846955,-3%,2021
KAZAKHSTAN,80679,11738,92417,24%,2021
MALAYSIA,446431,35220,481651,-1%,2021
MOROCCO,338339,64668,403007,23%,2021
MEXICO,708242,2437411,3145653,-1%,2021
POLAND,260800,178621,439421,-3%,2021
PORTUGAL,229221,60733,289954,10%,2021
ROMANIA,420755,,420755,-4%,2021
RUSSIA,1352740,213577,1566317,9%,2021
SERBIA,21109,154,21263,-9%,2021
SLOVAKIA,1000000,,1000000,1%,2021
SLOVENIA,95797,,95797,-32%,2021
SOUTH AFRICA,239267,259820,499087,12%,2021
SOUTH KOREA,3162727,299677,3462404,-1%,2021
SPAIN,1662174,435959,2098133,-8%,2021
TAIWAN,196749,68571,265320,8%,2021
THAILAND,594690,1091015,1685705,18%,2021
TURKEY,782835,493305,1276140,-2%,2021
UKRAINE,7342,811,8153,65%,2021
UNITED KINGDOM,859575,72913,932488,-6%,2021
USA,1563060,7604154,9167214,4%,2021
UZBEKISTAN,236 667,4982,241649,-15%,2021
OTHERS,1645014,183930,1828944,,2021
Argentina,93001,164186,257187,-18%,2020
Austria,104544,-,104544,-42%,2020
Belgium,237057,30403,267460,-6%,2020
Brazil,1608870,405185,2014055,-32%,2020
Canada,327681,1048942,1376623,-28%,2020
China,19994081,5231161,25225242,-2%,2020
Czech Republic,1152901,6250,1159151,-19%,2020
Egypt,23754,-,23754,28%,2020
Finland,86270,-,86270,-25%,2020
France,927718,388653,1316371,-39%,2020
Germany,3515372,227082,3742454,-24%,2020
Hungary,406497,-,406497,-18%,2020
India,2851268,543178,3394446,-25%,2020
Indonesia,551400,139886,691286,-46%,2020
Iran,826210,54787,880997,7%,2020
Italy,451826,325339,777165,-15%,2020
Japan,6960025,1107532,8067557,-17%,2020
Kazakhstan,64790,10041,74831,51%,2020
Malaysia,457755,27431,485186,-15%,2020
Morocco,221299,27131,248430,-38%,2020
Mexico,967479,2209121,3176600,-21%,2020
Poland,278900,172482,451382,-31%,2020
Portugal,211281,52955,264236,-24%,2020
Romania,438107,-,438107,-11%,2020
Russia,1260517,174818,1435335,-17%,2020
Serbia,23272,103,23375,-33%,2020
Slovakia,985000,-,985000,-11%,2020
Slovenia,141714,-,141714,-29%,2020
South Africa,238216,209002,447218,-29%,2020
South Korea,3211706,295068,3506774,-11%,2020
Spain,1800664,467521,2268185,-20%,2020
Taiwan,180967,64648,245615,-2%,2020
Thailand,537633,889441,1427074,-29%,2020
Turkey,855043,442835,1297878,-11%,2020
Ukraine,4202,750,4952,-32%,2020
United Kingdom,920928,66116,987044,-29%,2020
USA,1926795,6895604,8822399,-19%,2020
Uzbekistan,280080,-,280080,3%,2020
Others,709633,109475,819108,,2020
Argentina,108364,206423,314787,"-32,5",2019
Austria,158 400,21000,179400,"8,8",2019
Belgium,247020,38777,285797,"-7,4",2019
Brazil,2448490,496498,2944988,"2,2",2019
Canada,461370,1455215,1916585,"-5,4",2019
China,21360193,4360472,25720665,"-7,5",2019
Czech Rep.,1427563,6400,1433963,"-0,6",2019
Egypt,18500,0,18500,0,2019
Finland,114785,0,114785,"2,5",2019
France,1675198,527262,2202460,"-2,9",2019
Germany,4661328,0,4661328,-9,2019
Hungary,498158,0,498158,"7,6",2019
India,3623335,892682,4516017,"-12,2",2019
Indonesia,1045666,241182,1286848,"-4,2",2019
Iran,770000,51060,821060,-25,2019
Italy,542007,373298,915305,"-13,8",2019
Japan,8328756,1355542,9684298,"-0,5",2019
Malaysia,534115,37517,571632,"1,2",2019
Morocco,360110,34542,394652,"-1,8",2019
Mexico,1382714,2604080,3986794,"-2,8",2019
Poland,434700,215164,649864,"-1,5",2019
Portugal,282142,63562,345704,"17,4",2019
Romania,490412,0,490412,"2,9",2019
Russia,1523594,196190,1719784,"-2,8",2019
Serbia,34985,130,35115,"-37,8",2019
Slovakia,1100000,0,1100000,"0,6",2019
Slovenia,199102,0,199102,"-4,9",2019
South Africa,348665,283318,631983,"3,5",2019
South Korea,3612587,338030,3950617,"-1,9",2019
Spain,2248019,574336,2822355,"0,1",2019
Taiwan,189549,61755,251304,"-0,8",2019
Thailand,795254,1218456,2013710,"-7,1",2019
Turkey,982642,478602,1461244,"-5,7",2019
Ukraine,6254,1011,7265,"9,7",2019
UK,1303135,78270,1381405,"-13,9",2019
USA,2512780,8367239,10880019,"-3,7",2019
Uzbekistan,271113,0,271113,"22,9",2019
Others,1048191,59652,1108503,,2019
Argentina,208573,258076,466649,-1.4,2018
Austria,144500,20400,164900,69.7,2018
Belgium,265958,42535,308493,-18.2,2018
Brazil,2386758,493051,2879809,5.2,2018
Canada,655896,1364944,2020840,-7.9,2018
China,23529423,4279773,27809196,-4.2,2018
Colombia,69000,3800,72800,-5.5,2018
Czech Rep.,1345041,0,1345041,3,2018
Egypt,19500,52100,71600,95,2018
Finland,112104,0,112104,3,2018
France,1763000,507000,2270000,2,2018
Germany,5120409,0,5120409,-9.3,2018
Hungary,430988,0,430988,3,2018
India,4064774,1109871,5174645,8,2018
Indonesia,1055774,287940,1343714,10.3,2018
Iran,1027313,68213,1095526,-40,2018
Italy,670932,389136,1060068,-7.2,2018
Japan,8358220,1370308,9728528,0.4,2018
Malaysia,522000,42800,564800,12.2,2018
Morocco,368601,33484,402085,17.6,2018
Mexico,1575808,2524717,4100525,0.1,2018
Poland,451600,208046,659646,-4.4,2018
Portugal,234151,60215,294366,67.7,2018
Romania,476769,0,476769,31.1,2018
Russia,1563572,204102,1767674,13.9,2018
Serbia,56303,146,56449,-28.5,2018
Slovakia,1090000,0,1090000,5.6,2018
Slovenia,209378,0,209378,10.2,2018
South Africa,321097,289757,610854,3.5,2018
South Korea,3661730,367104,4028834,-2.1,2018
Spain,2267396,552169,2819565,-1,2018
Taiwan,190052,63189,253241,-13.1,2018
Thailand,877015,1290679,2167694,9,2018
Turkey,1026461,523689,1550150,-8.6,2018
Ukraine,5660,963,6623,-22.9,2018
UK,1519440,84888,1604328,-8.3,2018
USA,2795971,8518734,11314705,1.1,2018
Uzbekistan,220667,0,220667,57.3,2018
Others,341554,152230,493784,,2018
Argentina,203700,268458,472158,-0.13,2017
Australia,88195,10437,98632,-38.85,2017
Austria,81000,18880,99880,-8.98,2017
Belgium,336000,43140,379140,-5.08,2017
Brazil,2269468,430204,2699672,25.2,2017
Canada,749458,1450331,2199789,-7.21,2017
China,24806687,4208747,29015434,3.19,2017
Czech Rep.,1413881,6112,1419993,0,2017
Egypt,9970,26670,36640,1.13,2017
Finland,91598,0,91598,90.83,2017
France,1748000,479000,2227000,6.54,2017
Germany,5645581,0,5645581,-1.76,2017
Hungary,502000,3400,505400,-4.01,2017
India,3952550,830346,4782896,5.83,2017
Indonesia,982356,234259,1216615,3.3,2017
Iran,1418550,96846,1515396,18.19,2017
Italy,742642,399568,1142210,3.53,2017
Japan,8347836,1345910,9693746,5.31,2017
Malaysia,424880,35260,460140,-15.62,2017
Morocco,341802,34484,376826,9,2017
Mexico,1900029,2168386,4068415,13,2017
Netherlands,155000,2280,157280,74.97,2017
Poland,514700,175029,689729,1.16,2017
Portugal,126426,49118,175544,22.68,2017
Romania,359240,10,359250,-0.02,2017
Russia,1348029,203264,1551293,19.01,2017
Serbia,79360,552,79912,-0.51,2017
Slovakia,1001520,0,1001520,-3.7,2017
Slovenia,189852,0,189852,42,2017
South Africa,321358,268593,589951,-1.51,2017
South Korea,3735399,379514,4114913,-2.69,2017
Spain,2291492,556843,2848335,-1.3,2017
Sweden,226000,0,226000,10.04,2017
Taiwan,230356,61207,291563,-5.8,2017
Thailand,818440,1170383,1988823,2.28,2017
Turkey,1142906,552825,1695731,14.12,2017
Ukraine,7296,2246,9542,81.27,2017
UK,1671166,78219,1749385,-3.7,2017
USA,3033216,8156769,11189985,-8.13,2017
Uzbekistan,140247,0,140247,59.1,2017
Others,536725,221947,758672,16,2017
Argentina,"241,315","231,461","472,776",-10.20%,2016
Australia,"149,000","12,294","161,294",-6.80%,2016
Austria,"90,000","18,000","108,000",-10.90%,2016
Belgium,"354,003","45,424","399,427",-2.40%,2016
Brazil,"1,778,464","377,892","2,156,356",-11.20%,2016
Canada,"802,057","1,568,214","2,370,271",3.80%,2016
China,"24,420,744","3,698,050","28,118,794",14.50%,2016
Czech Rep.,"1,344,182","5,714","1,349,896",8.30%,2016
Egypt,"10,930","25,300","36,230",0.60%,2016
Finland,"55,280",0,"55,280",-19.90%,2016
France,"1,626,000","456,000","2,082,000",5.60%,2016
Germany,"5,746,808","315,754","6,062,562",0.50%,2016
Hungary,"472,000",0,"472,000",-4.70%,2016
India,"3,677,605","811,360","4,488,965",7.90%,2016
Indonesia,"968,101","209,288","1,177,389",7.20%,2016
Iran,"1,074,000","90,710","1,164,710",18.60%,2016
Italy,"713,182","390,334","1,103,516",8.80%,2016
Japan,"7,873,886","1,330,704","9,204,590",-0.80%,2016
Malaysia,"469,720","43,725","513,445",-16.50%,2016
Mexico,"1,993,168","1,604,294","3,597,462",0.90%,2016
Netherlands,"42,150","2,280","44,430",0.70%,2016
Poland,"554,600","127,237","681,837",3.20%,2016
Portugal,"99,200","43,896","143,096",-8.60%,2016
Romania,"358,861",445,"359,306",-7.20%,2016
Russia,"1,124,774","179,215","1,303,989",-5.40%,2016
Serbia,"79,360",960,"80,320",-4.00%,2016
Slovakia,"1,040,000",0,"1,040,000",0.10%,2016
Slovenia,"133,702",0,"133,702",0.50%,2016
South Africa,"335,539","263,465","599,004",-2.70%,2016
South Korea,"3,859,991","368,518","4,228,509",-7.20%,2016
Spain,"2,354,117","531,805","2,885,922",5.60%,2016
Sweden,"205,374",N.A.,"205,374",8.70%,2016
Taiwan,"251,096","58,435","309,531",-11.80%,2016
Thailand,"805,033","1,139,384","1,944,417",1.80%,2016
Turkey,"950,888","535,039","1,485,927",9.40%,2016
Ukraine,"4,340",924,"5,264",-36.10%,2016
UK,"1,722,698","93,924","1,816,622",8.00%,2016
USA,"3,934,357","8,263,780","12,198,137",0.80%,2016
Uzbekistan,"88,152",0,"88,152",-52.50%,2016
Others,"781,708","138,454","920,162",10.60%,2016
Argentina,"308,756","224,927","533,683",-13.50%,2015
Australia,"159,872","13,137","173,009",-4.00%,2015
Austria,"109,000","16,500","125,500",-17.40%,2015
Belgium,"369,172","40,168","409,340",-20.80%,2015
Brazil,"2,018,954","410,509","2,429,463",-22.80%,2015
Canada,"888,565","1,394,909","2,283,474",-4.60%,2015
China,"21,079,427","3,423,899","24,503,326",3.30%,2015
Czech Rep.,"1,298,236","5,367","1,303,603",4.20%,2015
Egypt,"12,000","24,000","36,000",-15.30%,2015
Finland,"69,000",53,"69,053",53.30%,2015
France,"1,553,800","416,200","1,970,000",8.20%,2015
Germany,"5,707,938","325,226","6,033,164",2.10%,2015
Hungary,"491,720","3,650","495,370",13.20%,2015
India,"3,378,063","747,681","4,125,744",7.30%,2015
Indonesia,"824,445","274,335","1,098,780",-15.40%,2015
Iran,"884,866","97,471","982,337",-9.90%,2015
Italy,"663,139","351,084","1,014,223",45.30%,2015
Japan,"7,830,722","1,447,516","9,278,238",-5.10%,2015
Malaysia,"558,324","56,347","614,671",3.30%,2015
Mexico,"1,968,054","1,597,415","3,565,469",5.90%,2015
Netherlands,"41,870","2,252","44,122",40.40%,2015
Poland,"534,700","125,903","660,603",11.30%,2015
Portugal,"115,468","41,158","156,626",-3.00%,2015
Romania,"387,171",6,"387,177",-1.10%,2015
Russia,"1,214,849","169,550","1,384,399",-26.60%,2015
Serbia,"82,400","1,230","83,630",-18.90%,2015
Slovakia,"1,000,001",0,"1,000,001",3.00%,2015
Slovenia,"133,092",0,"133,092",12.20%,2015
South Africa,"341,025","274,633","615,658",8.80%,2015
South Korea,"4,135,108","420,849","4,555,957",0.70%,2015
Spain,"2,218,980","514,221","2,733,201",13.70%,2015
Sweden,"188,987",N.A.,"188,987",22.60%,2015
Taiwan,"298,418","52,667","351,085",-7.40%,2015
Thailand,"772,250","1,143,170","1,915,420",1.90%,2015
Turkey,"791,027","567,769","1,358,796",16.10%,2015
Ukraine,"5,654","2,590","8,244",-71.30%,2015
UK,"1,587,677","94,479","1,682,156",5.20%,2015
USA,"4,163,679","7,936,416","12,100,095",3.80%,2015
Uzbekistan,"185,400",0,"185,400",-24.50%,2015
Others,"693,817","138,866","832,683",19.10%,2015
Argentina,"363,711","253,618","617,329",-22.00%,2014
Australia,"166,933","13,378","180,311",-16.50%,2014
Austria,"136,000","18,340","152,000",-8.70%,2014
Belgium,"481,636","35,195","516,831",2.60%,2014
Brazil,"2,502,293","644,093","3,146,386",-15.20%,2014
Canada,"913,533","1,480,621","2,394,154",0.60%,2014
China,"19,928,505","3,803,095","23,731,600",7.30%,2014
Czech Rep.,"1,246,506","4,714","1,251,220",10.40%,2014
Egypt,"17,542","9,190","42,515",-38.00%,2014
Finland,"45,000",35,"45,035",484.60%,2014
France,"1,499,464","322,000","1,821,464",4.70%,2014
Germany,"5,604,026","303,522","5,907,548",3.30%,2014
Hungary,"434,069","2,400","437,599",36.20%,2014
India,"3,162,372","682,485","3,844,857",-1.40%,2014
Indonesia,"1,013,172","285,351","1,298,523",7.60%,2014
Iran,"925,975","164,871","1,090,846",46.70%,2014
Italy,"401,317","296,547","697,864",6.00%,2014
Japan,"8,277,070","1,497,488","9,774,665",1.50%,2014
Malaysia,"545,122","50,012","595,134",-1.00%,2014
Mexico,"1,915,709","1,452,301","3,368,010",10.30%,2014
Netherlands,"29,196","2,232","31,428",7.70%,2014
Poland,"472,600","120,904","593,504",0.60%,2014
Portugal,"117,744","43,765","161,509",4.90%,2014
Romania,"391,422",12,"391,434",-4.80%,2014
Russia,"1,682,921","204,272","1,887,193",-23.00%,2014
Serbia,"101,576",695,"103,150",-9.40%,2014
Slovakia,"971,160",0,"971,160",-0.40%,2014
Slovenia,"118,533",58,"118,591",26.50%,2014
South Africa,"277,491","288,592","566,083",3.70%,2014
South Korea,"4,124,116","400,816","4,524,932",0.10%,2014
Spain,"1,898,342","504,636","2,402,978",11.10%,2014
Sweden,"154,174",N.A.,"154,174",-4.30%,2014
Taiwan,"332,629","46,594","379,223",12.00%,2014
Thailand,"743,258","1,137,329","1,880,587",-23.50%,2014
Turkey,"733,439","437,006","1,170,445",4.00%,2014
Ukraine,"25,941","2,810","28,751",-43.00%,2014
UK,"1,528,148","70,731","1,598,879",0.10%,2014
USA,"4,253,098","7,407,604","11,660,702",5.40%,2014
Uzbekistan,"245,660",0,"245,660",-0.40%,2014
Others,"584,144","114,998","699,142",8.70%,2014
Argentina,"506,539","284,468","791,007",3.50%,2013
Australia,"170,808","45,118","215,926",-4.70%,2013
Austria,"146,566","19,862","166,428",16.30%,2013
Belgium,"465,504","38,000","503,504",-6.60%,2013
Brazil,"2,722,979","989,401","3,712,380",9.10%,2013
Canada,"965,191","1,414,615","2,379,834",-3.40%,2013
China,"18,084,169","4,032,656","22,116,825",14.80%,2013
Czech Rep.,"1,128,473","4,458","1,132,931",-3.90%,2013
Egypt,"13,777","17,027","30,804",-45.50%,2013
Finland,"7,600",103,"7,703",-11.30%,2013
France,"1,458,220","282,000","1,740,220",-11.60%,2013
Germany,"5,439,904","278,318","5,718,222",1.20%,2013
Hungary,"317,857","3,430","321,287",47.50%,2013
India,"3,155,694","742,731","3,898,425",-6.60%,2013
Indonesia,"924,753","281,615","1,206,368",14.60%,2013
Iran,"630,639","113,041","743,680",-25.60%,2013
Italy,"388,465","269,741","658,206",-2.00%,2013
Japan,"8,189,323","1,440,858","9,630,181",-3.10%,2013
Malaysia,"543,892","57,515","601,407",5.60%,2013
Mexico,"1,771,987","1,282,862","3,054,849",1.80%,2013
Netherlands,0,"29,183","29,183",-47.50%,2013
Poland,"475,000","115,159","590,159",-9.90%,2013
Portugal,"109,698","44,318","154,016",-5.80%,2013
Romania,"410,959",38,"410,997",21.70%,2013
Russia,"1,927,578","264,667","2,192,245",-1.80%,2013
Serbia,"113,487",805,"113,878",932.30%,2013
Slovakia,"975,000",0,"975,000",5.20%,2013
Slovenia,"89,395","4,339","93,734",-28.40%,2013
South Africa,"265,257","280,656","545,913",1.20%,2013
South Korea,"4,122,604","398,825","4,521,429",-0.90%,2013
Spain,"1,754,668","408,670","2,163,338",9.30%,2013
Sweden,"161,080",N.A.,"161,080",-1.10%,2013
Taiwan,"291,037","47,683","338,720",-0.10%,2013
Thailand,"1,071,076","1,385,981","2,457,057",1.10%,2013
Turkey,"633,604","491,930","1,125,534",4.90%,2013
Ukraine,"45,758","4,691","50,449",-33.90%,2013
UK,"1,509,762","88,110","1,597,872",1.30%,2013
USA,"4,368,835","6,697,597","11,066,432",7.10%,2013
Uzbekistan,"246,641",0,"246,641",50.20%,2013
Others,"523,679","119,936","643,615",7.30%,2013
Argentina,"497,376","267,119","764,495",-7.80%,2012
Australia,"189,949","36,553","226,502",-1.00%,2012
Austria,"123,602","19,487","143,089",-6.20%,2012
Belgium,"504,616","34,232","538,848",-9.50%,2012
Brazil,"2,589,236","813,272","3,402,508",-0.20%,2012
Canada,"1,040,298","1,423,066","2,463,364",15.40%,2012
China,"15,523,658","3,748,150","19,271,808",4.60%,2012
Czech Rep.,"1,171,774","7,221","1,178,995",-1.70%,2012
Egypt,"36,880","19,600","56,480",-30.90%,2012
Finland,"8,600",88,"8,688",245.50%,2012
France,"1,682,814","284,951","1,967,765",-12.30%,2012
Germany,"5,388,459","260,801","5,649,260",-8.10%,2012
Hungary,"215,440","2,400","217,840",2.00%,2012
India,"3,296,240","878,473","4,174,713",6.30%,2012
Indonesia,"745,144","307,751","1,052,895",25.60%,2012
Iran,"856,927","143,162","1,000,089",-39.30%,2012
Italy,"396,817","274,951","671,768",-15.00%,2012
Japan,"8,554,503","1,388,574","9,943,077",18.40%,2012
Malaysia,"509,621","59,999","569,620",6.70%,2012
Mexico,"1,810,007","1,191,807","3,001,814",12.00%,2012
Netherlands,"24,895","30,744","55,639",-23.90%,2012
Poland,"539,671",115085,"654,756",-21.90%,2012
Portugal,"115,735","47,826","163,561",-14.90%,2012
Romania,"326,556","11,209","337,765",0.80%,2012
Russia,"1,970,087","263,016","2,233,103",12.20%,2012
Serbia,"10,227",805,"11,032",0.10%,2012
Slovakia,"926,555",0,"926,555",44.80%,2012
Slovenia,"126,836","4,113","130,949",-24.80%,2012
South Africa,"274,873","264,551","539,424",1.30%,2012
South Korea,"4,167,089","394,677","4,561,766",-2.00%,2012
Spain,"1,539,680","439,499","1,979,179",-16.60%,2012
Sweden,"162,814",N.A.,"162,814",-13.80%,2012
Taiwan,"278,043","60,995","339,038",-1.20%,2012
Thailand,"945,100","1,484,042","2,429,142",66.60%,2012
Turkey,"577,296","495,682","1,072,978",-9.80%,2012
Ukraine,"69,687","6,594","76,281",-27.10%,2012
UK,"1,464,906","112,039","1,576,945",7.70%,2012
USA,"4,109,013","6,226,752","10,335,765",19.30%,2012
Uzbekistan,"144,980","19,200","164,180",-8.60%,2012
Others,"463,990","135,652","599,642",22.00%,2012
Argentina,"577,233","251,538","828,771",15.70%,2011
Australia,"189,503","34,690","224,193",-8.10%,2011
Austria,"130,343","22,162","152,505",45.20%,2011
Belgium,"560,779","34,305","595,084",7.20%,2011
Brazil,"2,519,389","888,472","3,407,861",0.80%,2011
Canada,"990,482","1,144,639","2,135,121",3.20%,2011
China,"14,485,326","3,933,550","18,418,876",0.80%,2011
Czech Rep.,"1,191,968","7,877","1,199,845",11.50%,2011
Egypt,"53,072","28,659","81,731",-30.00%,2011
Finland,"2,540",91,"2,631",-60.50%,2011
France,"1,931,030","311,898","2,242,928",0.60%,2011
Germany,"5,871,918","275,030","6,146,948",4.10%,2011
Hungary,"211,218","2,313","213,531",1.00%,2011
India,"3,040,144","887,267","3,927,411",10.40%,2011
Indonesia,"562,250","276,138","838,388",19.30%,2011
Iran,"1,412,803","236,508","1,649,311",3.10%,2011
Italy,"485,606","304,742","790,348",-5.70%,2011
Japan,"7,158,525","1,240,105","8,398,630",-12.80%,2011
Malaysia,"488,441","45,254","533,695",-6.00%,2011
Mexico,"1,657,080","1,023,970","2,681,050",14.50%,2011
Netherlands,"40,772","32,379","73,151",-22.30%,2011
Poland,"741,000","97,133","838,133",-3.60%,2011
Portugal,"141,779","50,463","192,242",21.10%,2011
Romania,"310,243","24,989","335,232",-4.50%,2011
Russia,"1,744,097","246,058","1,990,155",41.80%,2011
Serbia,"10,227",796,"11,023",-27.50%,2011
Slovakia,"639,763",0,"639,763",13.90%,2011
Slovenia,"168,955","5,164","174,119",-17.60%,2011
South Africa,"312,265","220,280","532,545",12.80%,2011
South Korea,"4,221,617","435,477","4,657,094",9.00%,2011
Spain,"1,839,068","534,261","2,373,329",-0.60%,2011
Sweden,"188,969",N.A.,"188,969",-13.00%,2011
Taiwan,"288,523","54,773","343,296",13.10%,2011
Thailand,"537,987","919,811","1,457,798",-11.40%,2011
Turkey,"639,734","549,397","1,189,131",8.60%,2011
Ukraine,"97,585","7,069","104,654",25.90%,2011
UK,"1,343,810","120,189","1,463,999",5.10%,2011
USA,"2,976,991","5,684,544","8,661,535",11.90%,2011
Uzbekistan,"146,300","33,260","179,560",14.50%,2011
Others,"367,138","124,373","491,511",1.00%,2011
Argentina,"508,401","208,139","716,540",39.70%,2010
Australia,"205,334","38,673","244,007",7.40%,2010
Austria,"86,183","18,814","104,997",45.20%,2010
Belgium,"528,996","26,306","555,302",3.30%,2010
Brazil,"2,584,690","797,038","3,381,728",6.20%,2010
Canada,"967,077","1,101,112","2,068,189",38.80%,2010
China,"13,897,083","4,367,678","18,264,761",32.40%,2010
Czech Rep.,"1,069,518","6,866","1,076,384",9.50%,2010
Egypt,"76,412","40,271","116,683",26.40%,2010
Finland,"6,385",280,"6,665",-39.20%,2010
France,"1,924,171","305,250","2,229,421",8.90%,2010
Germany,"5,552,409","353,576","5,905,985",13.40%,2010
Hungary,"208,571","2,890","211,461",-1.40%,2010
India,"2,831,542","725,531","3,557,073",34.70%,2010
